ID,単語,句,品詞,品詞タグ
0,晴れ,晴れ,VERB,名詞-普通名詞-一般
1,夜,夜,ADV,名詞-普通名詞-副詞可能
2,くもり,くもり,VERB,名詞-普通名詞-一般
3,晴れ,晴れ,NOUN,名詞-普通名詞-一般
4,夜,夜,ADV,名詞-普通名詞-副詞可能
5,くもり,くもり,VERB,名詞-普通名詞-一般
6,晴れ,晴れ,NOUN,名詞-普通名詞-一般
7,夜,夜,ADV,名詞-普通名詞-副詞可能
8,くもり,くもり,VERB,名詞-普通名詞-一般
9,晴れ,晴れ,NOUN,名詞-普通名詞-一般
10,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
11,から,から,ADP,助詞-格助詞
12,くもり,くもり,NOUN,名詞-普通名詞-一般
13,晴れ,晴れ,NOUN,名詞-普通名詞-一般
14,後,後,NOUN,名詞-普通名詞-副詞可能
15,くもり,くもり,ADV,名詞-普通名詞-一般
16,夜,夜,ADV,名詞-普通名詞-副詞可能
17,遅く,遅い,ADJ,形容詞-一般
18,雨,雨,NOUN,名詞-普通名詞-一般
19,所,所,NOUN,接尾辞-名詞的-一般
20,に,に,ADP,助詞-格助詞
21,より,よる,VERB,動詞-一般
22,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
23,から,から,ADP,助詞-格助詞
24,雷,雷,NOUN,名詞-普通名詞-一般
25,を,を,ADP,助詞-格助詞
26,伴う,伴う,VERB,動詞-一般
27,晴れ,晴れ,NOUN,名詞-普通名詞-一般
28,後,後,NOUN,名詞-普通名詞-副詞可能
29,くもり,くもり,ADV,名詞-普通名詞-一般
30,夜,夜,ADV,名詞-普通名詞-副詞可能
31,遅く,遅い,ADJ,形容詞-一般
32,雨,雨,NOUN,名詞-普通名詞-一般
33,所,所,NOUN,接尾辞-名詞的-一般
34,に,に,ADP,助詞-格助詞
35,より,よる,VERB,動詞-一般
36,夕方,夕方,NOUN,名詞-普通名詞-副詞可能
37,から,から,ADP,助詞-格助詞
38,雷,雷,NOUN,名詞-普通名詞-一般
39,を,を,ADP,助詞-格助詞
40,伴う,伴う,VERB,動詞-一般
41,晴れ,晴れ,NOUN,名詞-普通名詞-一般
42,夜,夜,ADV,名詞-普通名詞-副詞可能
43,くもり,くもり,VERB,名詞-普通名詞-一般
44,所,所,NOUN,接尾辞-名詞的-一般
45,に,に,ADP,助詞-格助詞
46,より,よる,VERB,動詞-一般
47,夜,夜,ADV,名詞-普通名詞-副詞可能
48,遅く,遅い,ADJ,形容詞-一般
49,雨,雨,NOUN,名詞-普通名詞-一般
50,で,で,ADP,助詞-格助詞
51,雷,雷,NOUN,名詞-普通名詞-一般
52,を,を,ADP,助詞-格助詞
53,伴う,伴う,VERB,動詞-一般
54,晴れ,晴れ,NOUN,名詞-普通名詞-一般
55,夜,夜,ADV,名詞-普通名詞-副詞可能
56,くもり,くもり,VERB,名詞-普通名詞-一般
57,所,所,NOUN,接尾辞-名詞的-一般
58,に,に,ADP,助詞-格助詞
59,より,よる,VERB,動詞-一般
60,夜,夜,ADV,名詞-普通名詞-副詞可能
61,遅く,遅い,ADJ,形容詞-一般
62,雨,雨,NOUN,名詞-普通名詞-一般
63,で,で,ADP,助詞-格助詞
64,雷,雷,NOUN,名詞-普通名詞-一般
65,を,を,ADP,助詞-格助詞
66,伴う,伴う,VERB,動詞-一般
67,晴れ,晴れ,NOUN,名詞-普通名詞-一般
68,夜,夜,ADV,名詞-普通名詞-副詞可能
69,くもり,くもり,VERB,名詞-普通名詞-一般
70,所,所,NOUN,接尾辞-名詞的-一般
71,に,に,ADP,助詞-格助詞
72,より,よる,VERB,動詞-一般
73,夜,夜,ADV,名詞-普通名詞-副詞可能
74,遅く,遅い,ADJ,形容詞-一般
75,雨,雨,NOUN,名詞-普通名詞-一般
76,で,で,ADP,助詞-格助詞
77,雷,雷,NOUN,名詞-普通名詞-一般
78,を,を,ADP,助詞-格助詞
79,伴う,伴う,VERB,動詞-一般
80,晴れ,晴れ,NOUN,名詞-普通名詞-一般
81,後,後,NOUN,名詞-普通名詞-副詞可能
82,くもり,くもり,ADV,名詞-普通名詞-一般
83,夜,夜,ADV,名詞-普通名詞-副詞可能
84,遅く,遅い,ADJ,形容詞-一般
85,雨,雨,NOUN,名詞-普通名詞-一般
86,所,所,NOUN,接尾辞-名詞的-一般
87,に,に,ADP,助詞-格助詞
88,より,よる,VERB,動詞-一般
89,夜,夜,NOUN,名詞-普通名詞-副詞可能
90,雷,雷,NOUN,名詞-普通名詞-一般
91,を,を,ADP,助詞-格助詞
92,伴う,伴う,VERB,動詞-一般
93,晴れ,晴れ,NOUN,名詞-普通名詞-一般
94,夜,夜,ADV,名詞-普通名詞-副詞可能
95,くもり,くもり,VERB,名詞-普通名詞-一般
